,,,,
,,,,
"Estadio","Inauguración","Aforo","Equipo","Ciudad"
"Camp Nou",1957,99354,"FC Barcelona","Barcelona"
"Santiago Bernabéu",1947,81044,"Real Madrid CF","Madrid"
"Wanda Metropolitano",2017,67829,"Club Atlético de Madrid","Madrid"
"Nou Mestalla ",2020,61500,"Valencia CF","Valencia"
"Benito Villamarín",1929,60722,"Real Betis Balompié","Sevilla"
"Olímpico de La Cartuja",1997,57619,"NULL","Sevilla"
"Olímpico Lluís Companys",1927,55926,"NULL","Barcelona"
"San Mamés",2013,53289,"Athletic Club","Bilbao"
"Mestalla",1923,49500,"Valencia CF","Valencia"
"Ramón Sánchez Pizjuán",1958,42714,"Sevilla FC","Sevilla"
"RCDE Stadium",2009,40500,"RCD Espanyol","Cornellá de Llobregat"
"La Romareda",1957,34596,"Real Zaragoza","Zaragoza"
"Manuel Martínez Valero",1976,33732,"Elche CF","Elche"
"Riazor",1944,32911,"RC Deportivo de La Coruña","La Coruña"
"Anoeta",1993,32076,"Real Sociedad","San Sebastián"
"Gran Canaria",2003,32392,"UD Las Palmas","Las Palmas de Gran Canaria"
"Nueva Condomina",2006,31179,"Real Murcia","Murcia"
"Carlos Tartiere",2000,30500,"Real Oviedo","Oviedo"
"La Rosaleda",1941,30044,"Málaga CF","Málaga"
"El Molinón",1908,30000,"Real Sporting de Gijón","Gijón"
"José Rico Pérez",1974,29500,"Hércules CF","Alicante"
"Balaídos",1928,29000,"RC Celta de Vigo","Vigo"
"José Zorrilla",1982,26512,"Real Valladolid CF","Valladolid"
"Ciudad de Valencia",1969,26354,"Levante UD","Valencia"
"Ramón de Carranza",1957,25033,"Cádiz CF","Cádiz"
"Estadio de la Cerámica",1923,23500,"Villarreal CF","Villarreal"
"Iberostar Estadio",1999,23142,"RCD Mallorca","Palma de Mallorca"
"Heliodoro Rodríguez López",1925,22824,"CD Tenerife","Santa Cruz de Tenerife"
"Los Cármenes",1995,22369,"Granada CF","Granada"
"El Sardinero",1988,22222,"Real Racing Club de Santander","Santander"
"El Arcángel",1993,21822,"Córdoba CF","Córdoba"
"Nuevo Colombino",2001,21670,"RC Recreativo de Huelva","Huelva"
"Chapín",1988,20486,"Xerez Club Deportivo","Jerez de la Frontera"
"Municipal",1969,20000,"RB Linense","La Línea de la Concepción"
"Mendizorroza",1924,19840,"Deportivo Alavés","Vitoria"
"El Sadar",1967,19800,"CA Osasuna","Pamplona"
"Carlos Belmonte",1960,18000,"Albacete Balompié","Albacete"
"Balear",1960,18000,"CD Atlético Baleares","Palma de Mallorca"
"La Condomina",1924,17500,"UCAM Murcia Club de Fútbol","Murcia"
"Helmántico",1970,17341,"CF Salmantino UDS","Salamanca"
"Coliseum Alfonso Pérez",1998,17000,"Getafe CF","Getafe"
"Las Gaunas",2002,16000,"SD Logroñés","Logroño"
"Castalia",1987,16000,"CD Castellón","Castellón de la Plana"
"Nuevo Vivero",1998,15598,"CD Badajoz","Badajoz"
"Mini Estadi",1982,15276,"FC Barcelona ""B""","Barcelona"
"Cartagonova",1988,15105,"FC Cartagena","Cartagena"
"Juegos Mediterráneos",2004,15000,"UD Almería","Almería"
"Estadio de Vallecas",1976,14708,"Rayo Vallecano","Madrid"
"Romano",1953,14600,"Mérida AD","Mérida"
"Nou Estadi de Tarragona",1971,14500,"Club Gimnàstic de Tarragona","Tarragona"
"Camp d'Esports",1919,13500,"Lleida Esportiu","Lérida"
"Reino de León",2001,13451,"Cultural y Deportiva Leonesa","León"
"Municipal de Montilivi",1970,13400,"Girona FC","Gerona"
"Juan Rojas",1976,13000,"UD Almería ""B""","Almería"
"San Lázaro",1993,13000,"SD Compostela","Santiago de Compostela"
"La Victoria",2001,12600,"Real Jaén CF","Jaén"
"El Plantío",1964,12200,"Real Burgos CF","Burgos"
"A Malata",1993,12043,"Racing Club de Ferrol","Ferrol"
"Pasarón",1956,12000,"Pontevedra CF","Pontevedra"
"Nova Creu Alta",1967,11981,"CE Sabadell FC","Sabadell"
"Francisco de la Hera",1951,11580,"Extremadura UD","Almendralejo"
"Olímpic de Terrassa",1960,11500,"Terrassa Olímpica 2010","Tarrasa"
"Ciudad de Tudela",1969,11000,"CD Tudelano","Tudela"
"Butarque",1998,10958,"CD Leganés","Leganés"
