"Camp Nou",1957,99354,"Barcelona"
"Santiago Bernabéu",1947,81044,"Madrid"
"Wanda Metropolitano",2017,67829,"Madrid"
"Nou Mestalla ",2020,61500,"Valencia"
"Benito Villamarín",1929,60722,"Sevilla"
"Olímpico de La Cartuja",1997,57619,"Sevilla"
"Olímpico Lluís Companys",1927,55926,"Barcelona"
"San Mamés",2013,53289,"Bilbao"
"Mestalla",1923,49500,"Valencia"
"Ramón Sánchez Pizjuán",1958,42714,"Sevilla"
"RCDE Stadium",2009,40500,"Cornellá de Llobregat"
"La Romareda",1957,34596,"Zaragoza"
"Manuel Martínez Valero",1976,33732,"Elche"
"Riazor",1944,32911,"La Coruña"
"Anoeta",1993,32076,"San Sebastián"
"Gran Canaria",2003,32392,"Las Palmas de Gran Canaria"
"Nueva Condomina",2006,31179,"Murcia"
"Carlos Tartiere",2000,30500,"Oviedo"
"La Rosaleda",1941,30044,"Málaga"
"El Molinón",1908,30000,"Gijón"
"José Rico Pérez",1974,29500,"Alicante"
"Balaídos",1928,29000,"Vigo"
"José Zorrilla",1982,26512,"Valladolid"
"Ciudad de Valencia",1969,26354,"Valencia"
"Ramón de Carranza",1957,25033,"Cádiz"
"Estadio de la Cerámica",1923,23500,"Villarreal"
"Iberostar Estadio",1999,23142,"Palma de Mallorca"
"Heliodoro Rodríguez López",1925,22824,"Santa Cruz de Tenerife"
"Los Cármenes",1995,22369,"Granada"
"El Sardinero",1988,22222,"Santander"
"El Arcángel",1993,21822,"Córdoba"
"Nuevo Colombino",2001,21670,"Huelva"
"Chapín",1988,20486,"Jerez de la Frontera"
"Municipal",1969,20000,"La Línea de la Concepción"
"Mendizorroza",1924,19840,"Vitoria"
"El Sadar",1967,19800,"Pamplona"
"Carlos Belmonte",1960,18000,"Albacete"
"Balear",1960,18000,"Palma de Mallorca"
"La Condomina",1924,17500,"Murcia"
"Helmántico",1970,17341,"Salamanca"
"Coliseum Alfonso Pérez",1998,17000,"Getafe"
"Las Gaunas",2002,16000,"Logroño"
"Castalia",1987,16000,"Castellón de la Plana"
"Nuevo Vivero",1998,15598,"Badajoz"
"Mini Estadi",1982,15276,"Barcelona"
"Cartagonova",1988,15105,"Cartagena"
"Juegos Mediterráneos",2004,15000,"Almería"
"Estadio de Vallecas",1976,14708,"Madrid"
"Romano",1953,14600,"Mérida"
"Nou Estadi de Tarragona",1971,14500,"Tarragona"
"Camp d'Esports",1919,13500,"Lérida"
"Reino de León",2001,13451,"León"
"Municipal de Montilivi",1970,13400,"Gerona"
"Juan Rojas",1976,13000,"Almería"
